ligand_id,label,selection_role,EGFR_9KL4_aligned,EGFR_7KXZ_aligned,EGFR_9FRD_aligned,EGFR_4I23_aligned,EGFR_3W2S_aligned,EGFR_5CAV_aligned,EGFR_3W32_aligned,EGFR_8F1Z_aligned,EGFR_3POZ_aligned,EGFR_7U9A_aligned,EGFR_3W33_aligned,EGFR_9QXN_aligned
EGFR_decoy_L007378,decoy,development_train,-7.61,-7.929,-7.91,-7.68,-7.873,-8.02,-7.872,-8.667,-7.608,-7.814,-8.047,-8.405
EGFR_decoy_L008015,decoy,development_train,-8.363,-9.219,-8.723,-8.416,-8.163,-7.652,-8.211,-8.829,-8.329,-8.195,-8.475,-8.531
EGFR_decoy_L008038,decoy,development_train,-8.81,-8.472,-9.074,-8.01,-9.334,-9.014,-8.55,-9.179,-8.271,-7.792,-8.238,-8.998
EGFR_decoy_L010307,decoy,development_train,-8.02,-8.29,-8.397,-7.88,-7.514,-8.088,-8.496,-8.705,-8.471,-7.251,-8.593,-8.101
EGFR_decoy_L010308,decoy,development_train,-8.28,-8.48,-8.241,-7.59,-8.369,-7.699,-8.833,-8.449,-8.083,-7.755,-8.074,-8.511
EGFR_decoy_L027411,decoy,development_train,-8.105,-7.949,-8.539,-7.35,-8.843,-8.154,-8.679,-8.883,-9.409,-7.654,-9.289,-8.656
EGFR_decoy_L027441,decoy,development_train,-8.268,-8.583,-9.064,-7.722,-8.875,-8.135,-8.542,-9.093,-8.755,-7.457,-8.461,-8.823
EGFR_decoy_L004982,decoy,development_train,-9.165,-9.13,-9.105,-8.402,-10.119,-9.068,-11.608,-9.658,-9.503,-8.641,-11.566,-9.147
EGFR_decoy_L014972,decoy,development_train,-8.468,-8.525,-9.17,-7.644,-9.124,-7.828,-9.598,-9.516,-9.302,-8.244,-9.498,-9.275
EGFR_decoy_L023584,decoy,development_train,-8.236,-8.391,-8.714,-7.235,-7.11,-7.322,-8.435,-8.957,-7.703,-7.667,-7.66,-8.398
EGFR_decoy_L008528,decoy,development_train,-6.914,-7.602,-8.092,-6.453,-7.554,-6.557,-7.955,-8.243,-7.929,-6.107,-7.972,-7.989
EGFR_decoy_L003674,decoy,development_train,-9.894,-9.281,-10.905,-9.291,-9.723,-9.375,-10.234,-10.334,-11.048,-10.467,-10.931,-10.413
EGFR_decoy_L003675,decoy,development_train,-9.583,-10.376,-11.601,-9.401,-10.062,-9.765,-11.638,-10.538,-10.828,-10.133,-11.873,-11.213
EGFR_decoy_L030620,decoy,development_train,-8.841,-9.163,-9.905,-9.174,-9.754,-9.066,-10.155,-9.859,-10.039,-8.708,-9.976,-9.703
EGFR_decoy_L029121,decoy,development_train,-10.928,-8.519,-8.552,-9.106,-10.445,-10.078,-10.288,-9.675,-10.842,-8.969,-9.993,-8.115
EGFR_decoy_L003367,decoy,development_train,-7.265,-7.274,-7.933,-7.013,-7.251,-7.071,-7.436,-7.968,-7.307,-6.842,-7.614,-7.949
EGFR_decoy_L003368,decoy,development_train,-6.67,-6.802,-7.513,-6.999,-6.156,-6.149,-6.651,-7.435,-6.179,-5.926,-6.338,-7.496
EGFR_decoy_L003378,decoy,development_train,-6.837,-6.892,-7.372,-6.701,-6.526,-6.041,-6.199,-7.75,-5.964,-6.794,-6.123,-7.967
EGFR_decoy_L003379,decoy,development_train,-6.881,-7.014,-7.597,-6.608,-6.757,-6.3,-7.012,-7.403,-6.975,-6.312,-6.378,-7.552
EGFR_decoy_L003400,decoy,development_train,-6.508,-6.574,-7.259,-7.042,-6.933,-6.348,-6.46,-7.526,-6.357,-7.193,-6.333,-6.896
EGFR_decoy_L015307,decoy,development_train,-7.127,-6.851,-8.189,-6.543,-7.095,-6.995,-7.579,-7.244,-7.594,-6.662,-7.65,-7.388
EGFR_decoy_L026023,decoy,development_train,-9.347,-9.875,-11.226,-8.75,-9.719,-8.653,-9.825,-10.611,-9.896,-9.39,-9.972,-10.665
EGFR_decoy_L032117,decoy,development_train,-8.997,-9.118,-9.985,-8.221,-10.071,-7.994,-10.232,-10.092,-10.073,-8.082,-10.339,-10.031
EGFR_decoy_L001537,decoy,development_train,-8.636,-8.314,-8.997,-7.606,-8.376,-8.597,-8.993,-8.344,-8.605,-7.828,-8.648,-8.125
EGFR_decoy_L032690,decoy,development_train,-7.98,-8.08,-7.908,-8.195,-8.741,-7.6,-8.655,-7.875,-8.487,-7.683,-8.478,-8.025
EGFR_decoy_L004792,decoy,development_train,-8.376,-8.899,-8.975,-8.185,-8.732,-7.649,-9.458,-9.027,-9.107,-7.7,-9.312,-9.133
EGFR_decoy_L003176,decoy,development_train,-7.035,-7.291,-7.219,-6.623,-6.956,-6.53,-7.997,-6.88,-7.435,-6.586,-6.917,-6.823
EGFR_decoy_L024858,decoy,development_train,-8.63,-9.184,-9.541,-8.63,-9.536,-7.912,-9.308,-10.049,-8.979,-9.262,-9.326,-10.012
EGFR_decoy_L000983,decoy,development_train,-9.497,-9.456,-10.896,-8.658,-9.138,-9.1,-10.137,-10.499,-10.575,-9.323,-10.444,-9.628
EGFR_decoy_L001475,decoy,development_train,-9.887,-9.581,-10.398,-8.57,-9.242,-8.558,-9.565,-10.263,-9.861,-9.905,-10.281,-10.495
EGFR_decoy_L023216,decoy,development_train,-7.514,-7.734,-8.193,-7.707,-9.098,-7.545,-8.742,-8.308,-8.52,-7.665,-8.753,-8.541
EGFR_decoy_L023217,decoy,development_train,-7.819,-8.132,-8.208,-7.109,-8.518,-7.275,-8.602,-8.593,-8.772,-7.346,-8.88,-8.072
EGFR_decoy_L007528,decoy,development_train,-8.666,-8.684,-9.036,-8.208,-9.744,-7.944,-9.905,-9.236,-9.759,-8.151,-9.598,-9.432
EGFR_decoy_L000195,decoy,development_train,-9.408,-9.07,-10.278,-8.264,-9.169,-8.479,-10.003,-9.77,-9.504,-8.305,-10.228,-10.015
EGFR_decoy_L000946,decoy,development_train,-8.981,-9.196,-9.265,-8.899,-8.61,-8.452,-10.049,-9.16,-8.827,-8.387,-9.733,-9.412
EGFR_decoy_L011840,decoy,development_train,-9.327,-9.091,-10.319,-8.016,-9.071,-8.248,-10.057,-10.114,-10.206,-8.081,-10.091,-10.154
EGFR_decoy_L022941,decoy,development_train,-8.677,-9.208,-10.035,-8.329,-9.206,-8.803,-10.192,-9.715,-9.336,-8.33,-10.066,-9.954
EGFR_decoy_L032990,decoy,development_train,-7.844,-8.27,-9.31,-8.256,-8.562,-7.779,-9.662,-9.721,-9.289,-7.92,-9.319,-8.639
EGFR_decoy_L031945,decoy,development_train,-9.296,-9.041,-9.432,-8.504,-8.902,-8.579,-9.72,-9.473,-9.048,-8.514,-8.912,-9.693
EGFR_decoy_L028811,decoy,development_train,-9.188,-9.628,-9.741,-9.495,-9.947,-9.842,-10.323,-9.643,-9.585,-9.419,-11.32,-9.674
EGFR_decoy_L000805,decoy,development_train,-8.197,-8.129,-9.22,-7.237,-9.173,-7.078,-7.943,-8.945,-7.851,-8.2,-7.743,-9.024
EGFR_decoy_L017126,decoy,development_train,-9.293,-8.285,-9.495,-8.238,-8.43,-8.293,-8.878,-9.164,-9.149,-8.019,-8.539,-8.873
EGFR_decoy_L025589,decoy,development_train,-7.906,-7.742,-8.071,-7.07,-8.015,-7.241,-8.494,-8.156,-7.791,-7.474,-8.143,-8.335
EGFR_decoy_L002573,decoy,development_train,-9.53,-9.527,-9.738,-8.623,-8.914,-9.241,-9.65,-9.419,-9.669,-8.464,-8.926,-9.907
EGFR_decoy_L001333,decoy,development_train,-8.321,-8.126,-9.008,-7.665,-9.037,-7.527,-9.012,-9.04,-8.998,-7.839,-9.321,-9.045
EGFR_decoy_L002233,decoy,development_train,-8.553,-8.998,-9.094,-7.837,-10.07,-7.516,-9.703,-9.149,-9.457,-8.003,-9.817,-9.176
EGFR_decoy_L027199,decoy,development_train,-8.777,-9.333,-9.82,-8.087,-8.554,-8.624,-8.518,-9.491,-9.408,-8.261,-10.597,-9.755
EGFR_decoy_L015563,decoy,development_train,-8.853,-7.82,-8.437,-7.829,-8.043,-8.08,-8.3,-8.983,-7.981,-7.902,-8.082,-8.549
EGFR_decoy_L025862,decoy,development_train,-7.99,-7.932,-8.271,-7.229,-7.653,-7.816,-9.21,-8.215,-8.47,-7.673,-8.505,-7.792
EGFR_decoy_L000101,decoy,development_train,-8.708,-8.204,-9.547,-7.577,-8.617,-7.888,-8.131,-9.434,-8.153,-7.949,-8.224,-9.5
EGFR_decoy_L000820,decoy,development_train,-8.966,-8.5,-7.363,-8.37,-7.727,-7.711,-7.857,-7.506,-8.733,-7.556,-8.34,-7.553
EGFR_decoy_L006752,decoy,development_train,-8.298,-8.127,-7.202,-7.088,-7.274,-6.904,-7.442,-6.662,-7.989,-7.565,-7.904,-6.586
EGFR_decoy_L031551,decoy,development_train,-8.28,-8.17,-7.312,-7.232,-7.788,-7.285,-7.704,-8.765,-7.921,-7.698,-7.298,-8.496
EGFR_decoy_L034753,decoy,development_train,-7.356,-7.421,-7.87,-8.185,-8.289,-7.586,-8.277,-7.858,-8.36,-7.875,-8.164,-7.644
EGFR_decoy_L025507,decoy,development_train,-8.38,-9.244,-8.921,-7.634,-8.517,-8.804,-9.444,-8.758,-9.024,-8.427,-8.94,-8.649
EGFR_decoy_L030659,decoy,development_train,-8.372,-9.171,-8.533,-7.206,-8.453,-8.522,-8.277,-9.893,-8.473,-7.961,-7.803,-8.805
EGFR_decoy_L015419,decoy,development_train,-8.972,-8.451,-9.088,-8.462,-8.537,-8.63,-8.85,-8.859,-8.862,-8.249,-9.406,-8.765
EGFR_decoy_L023407,decoy,development_train,-7.954,-8.431,-8.503,-7.328,-8.45,-7.377,-9.226,-8.468,-8.72,-7.574,-8.623,-8.548
EGFR_decoy_L002212,decoy,development_train,-8.371,-8.663,-8.457,-7.571,-9.129,-8.105,-9.688,-8.86,-9.857,-8.152,-9.918,-8.763
EGFR_decoy_L003239,decoy,development_train,-8.147,-8.144,-8.701,-7.416,-9.164,-7.912,-9.752,-8.649,-9.713,-7.918,-9.938,-8.566
EGFR_decoy_L007229,decoy,development_train,-7.848,-8.466,-8.962,-7.07,-9.109,-7.311,-7.937,-8.983,-8.008,-7.506,-8.483,-9.133
EGFR_decoy_L007230,decoy,development_train,-7.924,-8.646,-9.03,-7.437,-9.391,-7.457,-8.509,-9.045,-8.341,-7.735,-8.728,-9.131
EGFR_decoy_L016806,decoy,development_train,-7.934,-8.289,-8.803,-7.877,-8.682,-7.611,-9.353,-8.504,-9.103,-7.64,-9.169,-8.677
EGFR_decoy_L021131,decoy,development_train,-8.825,-8.352,-9.977,-8.394,-8.155,-8.032,-8.786,-9.048,-8.522,-8.269,-8.042,-9.24
EGFR_decoy_L007310,decoy,development_train,-5.495,-5.583,-5.303,-5.196,-5.015,-5.305,-6.348,-5.546,-5.471,-4.81,-5.496,-5.621
EGFR_decoy_L010487,decoy,development_train,-10.241,-9.684,-9.438,-8.966,-9.94,-8.932,-10.47,-10.059,-9.636,-9.768,-9.729,-9.432
EGFR_decoy_L019072,decoy,development_train,-8.399,-8.789,-8.881,-8.222,-10.06,-8.237,-10.135,-8.925,-9.898,-8.824,-9.792,-9.288
EGFR_decoy_L003671,decoy,development_train,-7.491,-7.62,-8.294,-7.686,-9.32,-8.453,-8.589,-7.884,-9.208,-8.044,-8.8,-7.68
EGFR_decoy_L000438,decoy,development_train,-9.077,-9.455,-8.546,-8.624,-8.726,-8.715,-10.087,-8.865,-9.244,-8.881,-9.831,-8.935
EGFR_decoy_L033639,decoy,development_train,-9.269,-9.238,-9.705,-8.803,-10.049,-9.362,-9.879,-9.859,-9.625,-9.081,-9.963,-9.869
EGFR_decoy_L016924,decoy,development_train,-8.271,-8.514,-9.419,-8.033,-9.37,-7.908,-9.484,-9.663,-8.93,-7.906,-9.492,-9.428
EGFR_decoy_L011553,decoy,development_train,-8.747,-9.111,-10.488,-8.865,-9.54,-8.94,-11.237,-10.168,-9.433,-9.005,-11.014,-10.473
EGFR_decoy_L028623,decoy,development_train,-6.882,-6.928,-7.109,-6.711,-7.402,-6.774,-8.147,-6.954,-7.014,-6.771,-7.505,-7.027
EGFR_decoy_L001355,decoy,development_train,-7.269,-7.813,-8.325,-7.107,-7.96,-6.675,-7.841,-7.911,-7.853,-6.997,-7.728,-8.291
EGFR_decoy_L015791,decoy,development_train,-7.674,-8.063,-8.136,-6.801,-8.045,-7.084,-8.643,-8.252,-8.378,-7.287,-8.668,-8.392
EGFR_decoy_L016839,decoy,development_train,-8.183,-7.831,-8.245,-7.335,-8.344,-7.076,-8.625,-8.048,-8.561,-7.368,-8.753,-8.191
EGFR_decoy_L033331,decoy,development_train,-8.672,-8.771,-9.824,-8.61,-8.587,-8.15,-9.507,-9.03,-9.142,-8.412,-9.131,-9.673
EGFR_decoy_L031252,decoy,development_train,-8.337,-8.424,-8.865,-7.576,-9.02,-7.443,-9.076,-8.736,-8.719,-7.891,-8.669,-8.832
EGFR_decoy_L010444,decoy,development_train,-10.384,-9.466,-9.793,-9.153,-9.167,-9.126,-9.399,-9.218,-9.775,-9.022,-9.361,-9.144
EGFR_decoy_L010449,decoy,development_train,-9.99,-10.02,-9.76,-9.119,-9.23,-8.831,-10.001,-9.593,-10.238,-9.731,-9.532,-9.86
EGFR_decoy_L017991,decoy,development_train,-10.429,-10.298,-9.702,-8.76,-9.615,-9.161,-9.972,-9.333,-10.287,-9.766,-10.1,-9.892
EGFR_decoy_L017992,decoy,development_train,-8.358,-8.395,-8.373,-7.966,-8.403,-8.661,-9.061,-9.159,-9.167,-8.344,-8.451,-8.23
EGFR_decoy_L017993,decoy,development_train,-10.402,-9.963,-9.507,-8.832,-9.484,-8.645,-9.828,-9.497,-10.297,-9.788,-9.815,-9.603
EGFR_decoy_L017994,decoy,development_train,-9.487,-9.011,-11.202,-8.257,-9.059,-9.035,-10.122,-10.679,-9.811,-8.426,-9.851,-10.541
EGFR_decoy_L017995,decoy,development_train,-9.765,-9.614,-9.689,-9.177,-8.949,-8.446,-9.259,-10.255,-9.701,-9.611,-10.025,-9.737
EGFR_decoy_L017998,decoy,development_train,-8.544,-8.661,-8.631,-7.924,-8.941,-8.48,-9.171,-9.392,-9.263,-8.448,-8.331,-8.667
EGFR_decoy_L030350,decoy,development_train,-8.218,-8.748,-9.305,-7.784,-9.501,-8.128,-9.955,-9.28,-9.571,-7.847,-9.747,-9.239
EGFR_decoy_L031312,decoy,development_train,-8.852,-8.141,-8.633,-7.538,-8.867,-7.837,-8.791,-8.173,-8.561,-8.059,-8.174,-8.201
EGFR_decoy_L005848,decoy,development_train,-8.207,-8.74,-9.537,-8.581,-9.911,-7.732,-9.262,-9.853,-10.083,-9.548,-10.567,-10.166
EGFR_decoy_L005896,decoy,development_train,-8.406,-8.394,-9.716,-8.489,-9.958,-7.866,-10.295,-9.524,-10.066,-9.737,-10.585,-10.083
EGFR_decoy_L007524,decoy,development_train,-9.676,-10.162,-11.272,-9.993,-10.294,-9.075,-10.712,-10.617,-10.495,-9.143,-9.974,-11.479
EGFR_decoy_L004586,decoy,development_train,-9.206,-9.154,-9.362,-8.839,-9.308,-9.124,-10.314,-9.267,-9.406,-9.037,-9.68,-9.226
EGFR_decoy_L026012,decoy,development_train,-8.028,-8.749,-8.534,-7.84,-9.151,-7.903,-9.194,-8.995,-8.76,-8.253,-9.318,-8.416
EGFR_decoy_L020018,decoy,development_train,-9.88,-10.524,-10.972,-9.056,-9.894,-9.361,-9.828,-10.853,-9.82,-9.112,-10.057,-11.337
EGFR_decoy_L020887,decoy,development_train,-11.061,-10.263,-11.182,-10.16,-11.587,-9.755,-11.504,-11.232,-11.718,-10.064,-12.145,-10.825
EGFR_decoy_L020888,decoy,development_train,-10.319,-10.012,-11.361,-9.898,-11.441,-9.565,-10.528,-10.553,-11.279,-10.064,-11.118,-10.759
EGFR_decoy_L016021,decoy,development_train,-7.205,-7.192,-7.64,-6.681,-9.063,-7.098,-7.884,-7.543,-7.602,-7.171,-7.778,-7.916
EGFR_decoy_L016022,decoy,development_train,-7.177,-7.895,-7.959,-6.714,-8.736,-7.135,-7.757,-7.981,-7.603,-6.952,-7.849,-8.132
EGFR_decoy_L021658,decoy,development_train,-9.151,-9.074,-9.25,-7.871,-9.807,-8.354,-10.309,-9.347,-9.876,-8.361,-10.124,-9.438
EGFR_decoy_L031779,decoy,development_train,-8.802,-9.131,-9.544,-7.657,-10.095,-8.928,-10.715,-9.844,-9.954,-8.481,-10.879,-9.991
EGFR_decoy_L029749,decoy,development_train,-7.49,-8.088,-7.776,-7.575,-7.513,-7.231,-8.388,-7.798,-8.302,-7.629,-8.1,-7.393
EGFR_decoy_L025348,decoy,development_train,-8.561,-9.042,-10.355,-8.651,-10.794,-8.424,-10.437,-9.791,-10.146,-8.084,-10.16,-10.152
EGFR_decoy_L033744,decoy,development_train,-9.415,-8.885,-10.257,-7.387,-11.114,-7.837,-11.205,-9.839,-10.938,-7.833,-10.943,-10.267
EGFR_decoy_L032464,decoy,development_train,-8.016,-8.118,-8.351,-8.238,-7.333,-7.487,-7.616,-8.277,-8.073,-7.363,-7.566,-8.209
EGFR_decoy_L005951,decoy,development_train,-8.844,-8.677,-9.204,-8.355,-8.366,-8.458,-8.336,-9.093,-8.872,-8.292,-8.468,-9.241
EGFR_decoy_L005996,decoy,development_train,-7.097,-7.423,-8.231,-7.372,-7.893,-7.446,-8.874,-7.552,-9.19,-7.338,-8.466,-7.55
EGFR_decoy_L016651,decoy,development_train,-8.473,-8.77,-8.684,-7.891,-8.726,-8.635,-9.697,-9.085,-9.182,-8.321,-9.602,-9.045
EGFR_decoy_L006622,decoy,development_train,-8.882,-8.86,-9.015,-7.596,-8.621,-7.493,-8.959,-9.209,-9.133,-8.189,-9.001,-8.881
EGFR_decoy_L022853,decoy,development_train,-7.011,-6.791,-8.051,-6.716,-8.274,-6.401,-8.131,-7.697,-8.059,-6.783,-8.184,-7.627
EGFR_decoy_L012533,decoy,development_train,-9.347,-9.95,-10.146,-9.068,-11.189,-9.088,-11.133,-10.118,-10.951,-9.242,-11.041,-10.307
EGFR_decoy_L008801,decoy,development_train,-8.448,-8.422,-8.721,-8.479,-8.816,-8.735,-9.231,-8.765,-8.797,-8.473,-9.08,-8.94
EGFR_decoy_L008802,decoy,development_train,-8.597,-8.317,-8.812,-8.621,-8.676,-9.298,-9.216,-9.282,-8.792,-8.801,-9.405,-9.094
EGFR_decoy_L023753,decoy,development_train,-8.679,-8.969,-8.573,-7.856,-8.57,-7.866,-8.932,-8.757,-8.937,-7.873,-8.43,-9.081
EGFR_decoy_L026611,decoy,development_train,-9.023,-8.853,-9.759,-7.916,-11.017,-7.996,-9.748,-9.34,-9.271,-8.522,-9.64,-9.287
EGFR_decoy_L033001,decoy,development_train,-7.552,-7.762,-8.737,-7.446,-8.402,-7.17,-8.389,-8.513,-8.355,-7.659,-8.706,-8.307
EGFR_decoy_L019178,decoy,development_train,-7.893,-8.061,-8.735,-7.092,-8.941,-7.388,-8.945,-8.396,-9.367,-8.012,-9.064,-8.792
EGFR_decoy_L015747,decoy,development_train,-10.134,-10.48,-10.321,-9.974,-10.333,-9.481,-10.095,-10.754,-11.176,-10.681,-10.731,-10.469
EGFR_decoy_L018037,decoy,development_train,-10.333,-10.667,-10.448,-10.35,-11.015,-10.113,-10.766,-10.994,-11.339,-11.151,-11.036,-10.746
EGFR_decoy_L021684,decoy,development_train,-8.572,-8.457,-9.485,-7.98,-9.21,-7.899,-9.732,-9.413,-9.489,-8.079,-10.056,-9.447
EGFR_decoy_L001293,decoy,development_train,-9.842,-9.861,-10.018,-8.824,-10.347,-8.742,-10.56,-10.426,-10.148,-9.413,-10.035,-10.656
EGFR_decoy_L008280,decoy,development_train,-7.364,-7.522,-7.709,-6.571,-7.65,-6.825,-7.866,-7.7,-7.869,-7.117,-8.316,-7.947
EGFR_decoy_L027031,decoy,development_train,-7.47,-7.98,-7.768,-6.89,-7.905,-7.096,-8.408,-8.028,-8.306,-7.331,-8.056,-7.793
EGFR_decoy_L027032,decoy,development_train,-6.919,-7.289,-7.739,-6.621,-7.728,-6.386,-8.264,-7.844,-8.149,-7.068,-8.243,-7.642
EGFR_decoy_L007231,decoy,development_train,-7.974,-8.108,-8.625,-7.625,-8.833,-7.697,-8.598,-8.819,-8.44,-7.873,-8.51,-8.762
EGFR_decoy_L032988,decoy,development_train,-8.035,-8.428,-9.292,-8.625,-9.19,-8.179,-9.184,-8.654,-9.158,-7.969,-9.064,-8.9
EGFR_decoy_L015769,decoy,development_train,-8.574,-8.537,-8.952,-7.937,-8.714,-7.036,-8.523,-9.011,-9.545,-7.57,-9.387,-9.04
EGFR_decoy_L013266,decoy,development_train,-9.606,-9.918,-10.173,-9.191,-10.254,-8.992,-10.186,-10.767,-10.247,-9.513,-10.511,-11.188
EGFR_decoy_L001090,decoy,development_train,-8.903,-9.424,-10.357,-8.814,-9.155,-8.818,-9.662,-9.825,-9.773,-8.548,-9.585,-9.794
EGFR_decoy_L001091,decoy,development_train,-8.472,-9.542,-9.924,-8.346,-9.582,-8.054,-9.333,-9.597,-9.514,-8.543,-9.984,-9.677
EGFR_decoy_L023097,decoy,development_train,-7.668,-7.711,-7.728,-6.908,-8.897,-7.364,-8.021,-8.027,-8.153,-7.396,-8.335,-8.147
EGFR_decoy_L028933,decoy,development_train,-8.774,-8.338,-8.668,-8.069,-8.82,-7.888,-9.33,-9.468,-9.186,-7.474,-8.861,-8.66
EGFR_decoy_L004947,decoy,development_train,-7.919,-7.849,-8.128,-7.526,-7.469,-7.396,-8.744,-8.312,-7.947,-6.966,-8.431,-8.154
EGFR_decoy_L009531,decoy,development_train,-7.679,-8.441,-8.53,-7.591,-9.394,-7.557,-9.619,-9.005,-9.158,-7.379,-9.19,-8.246
EGFR_decoy_L002613,decoy,development_train,-8.434,-8.569,-9.086,-7.922,-8.609,-7.752,-9.066,-9.147,-8.871,-7.992,-8.94,-9.137
EGFR_decoy_L020615,decoy,development_train,-8.578,-8.575,-9.009,-7.925,-8.594,-7.953,-9.091,-8.693,-8.659,-8.092,-8.495,-8.976
EGFR_decoy_L007692,decoy,development_train,-9.222,-9.371,-9.956,-8.907,-8.219,-7.848,-9.195,-10.247,-9.628,-7.489,-9.956,-10.38
EGFR_decoy_L007738,decoy,development_train,-9.935,-8.975,-9.598,-7.254,-9.04,-7.508,-9.6,-10.062,-10.083,-8.748,-9.138,-9.668
EGFR_decoy_L009640,decoy,development_train,-7.878,-8.47,-8.763,-7.993,-9.315,-8.243,-9.89,-8.442,-9.966,-7.962,-10.283,-8.78
EGFR_decoy_L021235,decoy,development_train,-9.047,-9.321,-9.206,-9.138,-9.815,-8.862,-9.449,-9.336,-10.455,-9.773,-9.992,-9.726
EGFR_decoy_L021236,decoy,development_train,-9.859,-10.178,-10.964,-8.924,-10.33,-8.69,-10.462,-10.672,-10.029,-10.346,-9.652,-10.838
EGFR_decoy_L026065,decoy,development_train,-8.527,-9.072,-9.61,-7.617,-8.644,-8.142,-8.967,-9.386,-9.906,-7.885,-8.839,-9.586
EGFR_decoy_L019534,decoy,development_train,-7.116,-7.564,-8.067,-6.711,-7.748,-6.715,-8.267,-7.976,-7.611,-5.829,-8.111,-8.122
EGFR_decoy_L026014,decoy,development_train,-7.729,-8.105,-7.954,-7.561,-7.81,-7.238,-8.317,-7.979,-8.058,-7.173,-8.228,-7.553
EGFR_decoy_L022747,decoy,development_train,-8.946,-9.144,-9.558,-8.366,-10.159,-8.172,-10.449,-9.128,-10.151,-9.23,-10.563,-9.95
EGFR_decoy_L018056,decoy,development_train,-10.939,-10.621,-10.95,-8.776,-10.43,-9.687,-10.91,-10.787,-10.925,-9.477,-10.159,-10.878
EGFR_decoy_L023373,decoy,development_train,-9.273,-8.963,-8.919,-8.437,-8.919,-8.919,-9.59,-9.498,-9.422,-8.581,-9.645,-9.444
EGFR_decoy_L022808,decoy,development_train,-8.132,-8.677,-9.015,-7.432,-7.868,-7.314,-8.057,-8.939,-8.431,-7.722,-7.688,-9.084
EGFR_decoy_L003888,decoy,development_train,-6.406,-6.771,-7.749,-6.95,-7.484,-6.561,-7.556,-7.314,-7.291,-6.42,-7.653,-7.72
EGFR_decoy_L009390,decoy,development_train,-7.717,-7.962,-7.725,-7.126,-7.814,-7.556,-8.116,-8.34,-8.445,-7.814,-8.628,-7.765
EGFR_decoy_L009482,decoy,development_train,-8.765,-7.293,-7.791,-7.522,-9.862,-7.407,-8.829,-8.107,-8.471,-7.713,-8.005,-7.869
EGFR_decoy_L033455,decoy,development_train,-8.701,-8.154,-9.519,-8.222,-10.31,-7.786,-10.506,-9.6,-10.213,-7.798,-10.707,-9.216
EGFR_decoy_L018094,decoy,development_train,-10.013,-10.096,-8.921,-9.165,-9.167,-8.533,-9.731,-10.401,-8.996,-8.643,-10.561,-9.117
EGFR_decoy_L034386,decoy,development_train,-8.552,-8.236,-9.086,-8.001,-9.378,-7.574,-9.263,-9.86,-9.275,-8.995,-8.693,-9.073
EGFR_decoy_L010421,decoy,development_train,-7.275,-7.798,-8.857,-6.901,-7.181,-6.519,-7.466,-8.409,-7.575,-6.946,-7.483,-8.546
EGFR_decoy_L007571,decoy,development_train,-9.885,-10.197,-10.002,-8.561,-9.528,-8.494,-9.837,-9.946,-9.904,-9.208,-10.167,-10.236
EGFR_decoy_L001859,decoy,development_train,-10.077,-9.845,-10.366,-7.91,-10.163,-7.92,-8.796,-10.663,-9.067,-7.534,-8.946,-10.648
EGFR_decoy_L023351,decoy,development_train,-8.954,-9.337,-10.245,-8.504,-9.817,-8.333,-10.404,-10.027,-10.214,-9.166,-10.498,-10.48
EGFR_decoy_L014994,decoy,development_train,-7.38,-7.992,-8.081,-8.192,-7.584,-7.332,-8.602,-8.479,-8.408,-7.046,-8.594,-8.034
EGFR_decoy_L010550,decoy,development_train,-8.711,-8.433,-9.282,-7.842,-8.743,-7.616,-9.219,-9.515,-9.024,-8.064,-9.53,-9.456
EGFR_decoy_L022071,decoy,development_train,-8.334,-8.259,-8.919,-7.754,-8.041,-7.629,-9.554,-8.55,-9.035,-8.884,-9.358,-8.426
EGFR_decoy_L029460,decoy,development_train,-8.501,-8.527,-9.151,-8.118,-9.11,-7.893,-8.742,-8.927,-8.49,-8.716,-8.72,-9.018
EGFR_decoy_L021145,decoy,development_train,-8.72,-9.878,-8.986,-7.577,-10.171,-8.586,-9.13,-10.059,-9.821,-7.424,-9.555,-10.136
EGFR_decoy_L020849,decoy,development_train,-7.448,-7.367,-8.397,-7.128,-8.927,-7.302,-9.098,-8.344,-9.0,-6.98,-8.7,-8.014
EGFR_decoy_L025473,decoy,development_train,-7.899,-8.184,-8.541,-7.478,-7.385,-7.689,-7.416,-8.625,-7.501,-7.206,-7.454,-8.752
EGFR_decoy_L019357,decoy,development_train,-6.396,-6.171,-7.152,-6.733,-7.636,-6.488,-7.014,-6.964,-8.116,-7.618,-7.997,-7.293
EGFR_decoy_L019511,decoy,development_train,-7.524,-7.794,-8.233,-7.228,-7.96,-6.967,-8.745,-8.399,-8.591,-7.025,-9.01,-8.341
EGFR_decoy_L031659,decoy,development_train,-7.82,-8.046,-7.856,-7.565,-8.014,-7.056,-8.461,-8.192,-8.247,-7.089,-8.069,-8.102
EGFR_decoy_L021137,decoy,development_train,-8.612,-8.926,-9.387,-8.319,-10.299,-7.946,-10.537,-9.136,-9.921,-8.409,-10.311,-9.591
EGFR_decoy_L007887,decoy,development_train,-9.948,-9.997,-10.871,-8.91,-9.584,-9.778,-10.564,-10.532,-9.702,-9.068,-9.703,-10.734
EGFR_decoy_L030865,decoy,development_train,-8.331,-8.222,-8.78,-8.061,-8.903,-7.581,-10.036,-9.496,-9.74,-8.951,-9.79,-9.113
