target_id,ligand_id,label,CDK2_1AQ1_reference,CDK2_1HCL_aligned,CDK2_1JVP_aligned,CDK2_1Y8Y_aligned,CDK2_2C68_aligned,CDK2_2C69_aligned,CDK2_3RKB_aligned,CDK2_AF2_MD2NS_C00_F001,CDK2_AF2_MD2NS_C01_F005,CDK2_AF2_MD2NS_C02_F031,CDK2_AF2_MD2NS_C03_F041,CDK2_AF2_MD2NS_C04_F066,CDK2_AF2_MD2NS_C05_F074,CDK2_AF2_MD2NS_C06_F077,CDK2_AF2_MD2NS_C07_F095,CDK2_AF_P24941_F1_v6
CDK2,CDK2_D0076,decoy,-7.842,-7.273,-7.797,-8.132,-7.471,-7.463,-7.452,-7.707,-7.649,-7.282,-7.426,-7.082,-7.303,-7.352,-7.772,-7.475
CDK2,CDK2_D0077,decoy,-9.032,-8.247,-9.276,-8.926,-8.411,-8.509,-9.61,-8.352,-8.273,-8.723,-8.433,-7.264,-8.215,-7.286,-8.116,-8.61
CDK2,CDK2_D0078,decoy,-9.605,-8.642,-9.723,-8.328,-7.611,-8.173,-10.46,-8.975,-8.775,-8.611,-8.054,-7.323,-8.77,-8.219,-8.617,-8.448
CDK2,CDK2_D0079,decoy,-9.261,-7.756,-8.923,-7.598,-7.684,-7.377,-8.503,-8.352,-7.701,-8.068,-8.441,-7.427,-7.805,-7.676,-7.676,-8.32
CDK2,CDK2_D0080,decoy,-7.694,-6.593,-8.071,-6.626,-5.495,-5.888,-7.919,-6.422,-6.183,-7.158,-6.599,-6.409,-6.967,-6.922,-6.692,-7.17
CDK2,CDK2_D0081,decoy,-8.762,-8.656,-8.671,-8.017,-8.793,-7.22,-8.489,-8.123,-8.868,-8.17,-8.265,-7.92,-7.498,-7.433,-8.539,-7.717
CDK2,CDK2_D0082,decoy,-8.746,-7.73,-8.506,-8.257,-7.787,-7.436,-8.285,-9.094,-8.22,-7.352,-7.579,-6.563,-7.703,-7.529,-7.584,-7.6
CDK2,CDK2_D0083,decoy,-8.912,-7.879,-9.022,-8.032,-8.684,-7.575,-8.62,-8.734,-7.905,-7.34,-8.057,-7.359,-7.115,-7.937,-8.188,-8.392
CDK2,CDK2_D0084,decoy,-8.687,-7.566,-8.903,-8.074,-7.987,-8.15,-8.47,-8.391,-8.094,-7.83,-8.161,-7.155,-7.42,-7.799,-7.938,-8.083
CDK2,CDK2_D0085,decoy,-7.221,-7.072,-7.592,-7.295,-6.608,-6.581,-7.511,-7.287,-6.721,-6.98,-6.982,-7.089,-6.978,-6.479,-6.821,-7.356
CDK2,CDK2_D0087,decoy,-8.702,-7.975,-9.041,-8.2,-7.872,-7.505,-8.391,-8.086,-8.593,-7.891,-8.361,-7.065,-7.511,-7.632,-8.065,-7.983
CDK2,CDK2_D0088,decoy,-7.954,-7.616,-8.079,-7.292,-7.71,-7.185,-8.063,-7.763,-7.484,-7.078,-7.708,-6.279,-7.367,-7.011,-7.441,-7.274
CDK2,CDK2_D0089,decoy,-8.614,-8.118,-8.953,-8.085,-6.96,-7.69,-8.338,-7.874,-7.391,-7.794,-7.732,-7.422,-7.762,-7.469,-8.547,-7.6
CDK2,CDK2_D0090,decoy,-8.064,-8.94,-6.862,-8.106,-6.766,-7.217,-6.965,-5.069,-5.382,-8.387,-8.075,-8.946,-6.739,-6.725,-6.466,-8.974
CDK2,CDK2_D0091,decoy,-10.48,-9.556,-10.91,-8.702,-7.595,-7.543,-10.55,-8.796,-8.736,-8.85,-9.46,-8.518,-8.678,-8.732,-8.853,-9.009
CDK2,CDK2_D0092,decoy,-9.104,-8.648,-9.029,-7.683,-7.033,-7.747,-9.531,-5.935,-6.421,-8.565,-8.314,-8.163,-7.727,-7.69,-8.355,-9.157
CDK2,CDK2_D0093,decoy,-9.354,-9.082,-7.041,-6.791,-5.529,-7.535,-6.747,-4.917,-5.072,-9.146,-8.092,-9.05,-8.588,-7.534,-7.612,-8.022
CDK2,CDK2_D0095,decoy,-9.105,-7.347,-9.759,-8.735,-7.597,-7.414,-9.296,-8.999,-8.089,-7.849,-8.01,-7.425,-8.295,-8.493,-8.531,-9.069
CDK2,CDK2_D0096,decoy,-10.11,-9.493,-10.81,-9.605,-7.769,-7.474,-10.54,-8.927,-8.889,-9.41,-9.161,-9.344,-8.689,-7.594,-8.51,-8.679
CDK2,CDK2_D0097,decoy,-8.696,-8.026,-9.174,-8.612,-7.406,-7.76,-8.697,-8.14,-7.388,-8.308,-8.288,-7.85,-7.797,-7.785,-8.392,-8.225
CDK2,CDK2_D0099,decoy,-6.128,-6.01,-6.348,-5.883,-6.178,-6.12,-6.316,-6.393,-6.223,-5.903,-5.903,-6.427,-6.603,-6.792,-6.19,-6.335
CDK2,CDK2_D0100,decoy,-7.852,-7.336,-8.311,-7.919,-7.405,-7.322,-7.858,-7.734,-7.415,-7.079,-7.507,-6.587,-7.139,-7.516,-7.262,-7.544
